Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,Projection
WR,Deven Thompkins (28793065),Deven Thompkins,28793065,WR/FLEX,3000,TB@MIN 09/10/2023 01:00PM ET,TB,2.1
WR,Kaylon Geiger Sr. (28793067),Kaylon Geiger Sr.,28793067,WR/FLEX,3000,TB@MIN 09/10/2023 01:00PM ET,TB,0
WR,David Moore (28793069),David Moore,28793069,WR/FLEX,3000,TB@MIN 09/10/2023 01:00PM ET,TB,0
WR,Taye Barber (28793071),Taye Barber,28793071,WR/FLEX,3000,TB@MIN 09/10/2023 01:00PM ET,TB,0
WR,Rakim Jarrett (28793073),Rakim Jarrett,28793073,WR/FLEX,3000,TB@MIN 09/10/2023 01:00PM ET,TB,1.8
WR,Ryan Miller (28793075),Ryan Miller,28793075,WR/FLEX,3000,TB@MIN 09/10/2023 01:00PM ET,TB,0
WR,Kade Warner (28793077),Kade Warner,28793077,WR/FLEX,3000,TB@MIN 09/10/2023 01:00PM ET,TB,0
WR,Brandon Powell (28793081),Brandon Powell,28793081,WR/FLEX,3000,TB@MIN 09/10/2023 01:00PM ET,MIN,0.1
WR,Jalen Nailor (28793083),Jalen Nailor,28793083,WR/FLEX,3000,TB@MIN 09/10/2023 01:00PM ET,MIN,1
WR,Blake Proehl (28793085),Blake Proehl,28793085,WR/FLEX,3000,TB@MIN 09/10/2023 01:00PM ET,MIN,0
WR,Trishton Jackson (28793087),Trishton Jackson,28793087,WR/FLEX,3000,TB@MIN 09/10/2023 01:00PM ET,MIN,0
WR,Cephus Johnson III (28793089),Cephus Johnson III,28793089,WR/FLEX,3000,TB@MIN 09/10/2023 01:00PM ET,TB,0
WR,Thayer Thomas (28793091),Thayer Thomas,28793091,WR/FLEX,3000,TB@MIN 09/10/2023 01:00PM ET,MIN,0
WR,Lucky Jackson (28793093),Lucky Jackson,28793093,WR/FLEX,3000,TB@MIN 09/10/2023 01:00PM ET,MIN,0
WR,Garett Maag (28793095),Garett Maag,28793095,WR/FLEX,3000,TB@MIN 09/10/2023 01:00PM ET,MIN,0
WR,Malik Knowles (28793097),Malik Knowles,28793097,WR/FLEX,3000,TB@MIN 09/10/2023 01:00PM ET,MIN,0
WR,N'Keal Harry (29001052),N'Keal Harry,29001052,WR/FLEX,3000,TB@MIN 09/10/2023 01:00PM ET,MIN,0
WR,A.T. Perry (28793025),A.T. Perry,28793025,WR/FLEX,3000,TEN@NO 09/10/2023 01:00PM ET,NO,0
WR,Kirk Merritt (28793029),Kirk Merritt,28793029,WR/FLEX,3000,TEN@NO 09/10/2023 01:00PM ET,NO,0
WR,Keith Kirkwood (28793031),Keith Kirkwood,28793031,WR/FLEX,3000,TEN@NO 09/10/2023 01:00PM ET,NO,1.9
WR,Bryan Edwards (28793033),Bryan Edwards,28793033,WR/FLEX,3000,TEN@NO 09/10/2023 01:00PM ET,NO,0
WR,Lynn Bowden Jr. (28793037),Lynn Bowden Jr.,28793037,WR/FLEX,3000,TEN@NO 09/10/2023 01:00PM ET,NO,0
WR,Kawaan Baker (28793039),Kawaan Baker,28793039,WR/FLEX,3000,TEN@NO 09/10/2023 01:00PM ET,NO,0
WR,Shaq Davis (28793041),Shaq Davis,28793041,WR/FLEX,3000,TEN@NO 09/10/2023 01:00PM ET,NO,0
WR,Kyle Philips (28793043),Kyle Philips,28793043,WR/FLEX,3000,TEN@NO 09/10/2023 01:00PM ET,TEN,0
WR,Chris Moore (28793045),Chris Moore,28793045,WR/FLEX,3000,TEN@NO 09/10/2023 01:00PM ET,TEN,2.9
WR,Colton Dowell (28793049),Colton Dowell,28793049,WR/FLEX,3000,TEN@NO 09/10/2023 01:00PM ET,TEN,0
WR,Reggie Roberson Jr. (28793051),Reggie Roberson Jr.,28793051,WR/FLEX,3000,TEN@NO 09/10/2023 01:00PM ET,TEN,0
WR,Mason Kinsey (28793053),Mason Kinsey,28793053,WR/FLEX,3000,TEN@NO 09/10/2023 01:00PM ET,TEN,0
WR,Tre'Shaun Harrison (28793057),Tre'Shaun Harrison,28793057,WR/FLEX,3000,TEN@NO 09/10/2023 01:00PM ET,TEN,0
WR,Kearis Jackson (28793059),Kearis Jackson,28793059,WR/FLEX,3000,TEN@NO 09/10/2023 01:00PM ET,TEN,0
WR,Gavin Holmes (28793061),Gavin Holmes,28793061,WR/FLEX,3000,TEN@NO 09/10/2023 01:00PM ET,TEN,0
WR,Jontre Kirklin (29001050),Jontre Kirklin,29001050,WR/FLEX,3000,TEN@NO 09/10/2023 01:00PM ET,NO,0
WR,Ray-Ray McCloud III (28792991),Ray-Ray McCloud III,28792991,WR/FLEX,3000,SF@PIT 09/10/2023 01:00PM ET,SF,0
